CI,Group,Subgroup,Detail,Description,Mode/Site Indicator,Duplicate Indicator
,1,00,000,    FREIGHT CHARGES,,
,1,00,999,All freight charges,,
,1,01,000,  BASIC FREIGHT,,
,1,01,002,Arbitrary basis freight,,
,1,01,003,Minimum freight,,
,1,01,004,Minimum freight Bill of Lading,,
,1,01,005,Minimum ocean freight supplement,,
,1,01,006,Minimum freight LCL cargo,,
,1,01,007,Minimum freight FCL cargo,,
,1,01,008,Supplement to minimum FCL freight,,
,1,01,009,FCL minimum revenue shortfall,,
,1,01,010,Excess freight,,
,1,01,011,Excess freight over FCL minimum,,
,1,01,012,Freight free,,
,1,01,013,Accumulated freight,,
,1,01,014,Accumulated FCL minimum,,
,1,01,015,Accumulated FCL maximum,,
,1,01,016,Declared value charge,,
,1,01,017,Maximum freight,,
,1,01,018,FCL maximum all measurement,,
,1,01,019,FCL maximum multi rate measurement,,
,1,01,020,FCL maximum mixed weight measure,,
,1,01,021,Airfreight  ,(FF),D1
,1,01,021,All-in Ocean Freight  ,(10),D2
,1,01,021,Basic price according to transport tariff  ,(30),D3
,1,01,021,Basic transport cost,,D4
,1,01,021,Freight all kinds  ,(FF),D5
,1,01,021,Rate ,(20),D6
,1,01,021,Rate ,(40),D7
,1,01,021,Seafreight ,(DD),D8
,1,01,022,Special freight supplement,,
,1,01,024,Contract price,,
,1,01,027,Charges incoming AWB,,
,1,01,028,Rail charges,,
,1,01,029,Freight till border,,
,1,01,031,Human remains,,
,1,01,033,Extra for FCL-minimum,,
,1,01,034,Special cargo freight additional,,
,1,01,035,Inland freight origin,,
,1,01,036,Inland freight destination,,
,1,01,037,Through freight,,
,1,01,038,Exceed maximum,,
,1,01,039,Option fee,,
,1,01,040,Change of destination fee,,
,1,01,041,Inlandfreight rail,,
,1,01,042,Zone transport charges,,
,1,01,043,Inland freight truck,,
,1,01,044,Intermodal freight,,
,1,01,045,Extra to reach consolidated container minimum,,
,1,01,046,Cost increase charge,,
,1,01,047,Freight ex border,,
,1,01,048,Standard freight I,,
,1,01,049,Standard freight II,,
,1,01,050,Compensation for deck cargo,,
,1,01,051,Compensation for tarpaulins,,
,1,01,052,Extra for separation in different holds,,
,1,01,053,Lying idle and/or sailing - followed by sailing,,
,1,01,054,Lying idle and/or sailing - if not followed by sailing,,
,1,01,056,"Cost of transportation (sea, inland waterways, or air freight, or overland carriage)",,
,1,01,057,"Transport - rail, road, water",,
,1,01,058,"Road transport, delivery to free house, including any urban area congestion surcharge",,
,1,01,059,"Collection ex house, movement including any urban area transport congestion surcharge",,
,1,01,060,Security charge import,,
,1,01,061,Security charge export,,
,1,02,000,  FREIGHT CHARGE ALLOWANCE,,
,1,02,002,Allowance - wool,,
,1,02,003,Allowance - container,,
,1,02,004,Allowance - pallet,,
,1,02,005,Allowance - LCL,,
,1,02,006,Allowance - groupage,,
,1,02,011,Discount - contract,,
,1,02,012,Discount - special project,,
,1,02,013,Discount - high commission,,
,1,02,014,Discount - product,,
,1,02,015,Discount - potato/onion,,
,1,02,016,Discount - chemical contract,,
