CI,Mode,Code-A,Code-B,Name,Description
,1,50,,General cargo vessel,Vessel designed to carry general cargo.
,1,50,1,Grain vessel,Vessel designed to carry grain.
,1,50,2,Timber/log carrier,Vessel designed to carry logs and timber.
,1,50,3,Wood chips vessel,Vessel designed to carry wood chips.
,1,50,4,Steel products vessel ,Vessel designed to carry steel products.
,1,50,5,"Carrier, general cargo/container",Vessel designed to carry general cargo and containers.
,1,50,6,Temperature controlled cargo vessels,Vessel designed to carry temperature-controlled cargo.
,1,51,,Unit carrier,Vessel designed to carry unit loads
,1,51,1,Full container ship/cellular vessel,Vessel designed to carry containers only.
,1,51,2,RoRo vessel,Vessel with ramp designed to carry roll-on/roll-off cargo.
,1,51,3,Car carrier,Vessel designed to carry automotive vehicles or their knock-down parts.
,1,51,4,Livestock carrier,Vessel designed to carry livestock.
,1,51,5,Barge carrier – Lash ship,Vessel designed to carry barges. Lash means lighters aboard ship.
,1,51,6,Chemical carrier,Vessel designed to carry chemicals in bulk or drums not in tanks.
,1,51,7,Irradiated fuel carrier,Vessel designed to carry irradiated fuel.
,1,51,8,Heavy cargo vessel,Ship designed to carry heavy cargo.
,1,51,9,RoRo/Container vessel,Vessel designed to carry both containers and roll-on/roll-off cargo.
,1,52,,Bulk carrier,Vessel designed to carry bulk cargo.
,1,52,1,Dry bulk carrier,Vessel designed to carry dry bulk (expellers).
,1,52,2,Ore carrier ,Vessel designed to carry ore.
,1,52,3,Cement carrier,Vessel designed to carry cement.
,1,52,4,Gravel carrier,Vessel designed to carry gravel.
,1,52,5,Coal carrier,Vessel designed to carry coal.
,1,53,,Tanker,Vessel solely equipped with tanks to carry cargo.
,1,53,1,Crude oil tanker ,Tanker designed to carry crude oil.
,1,53,2,"Chemical tanker, coaster",Tanker designed to carry chemicals in coastal traffic.
,1,53,3,"Chemical tanker, deep sea",Tanker designed to carry chemicals in deep sea.
,1,53,4,Oil and other derivatives tanker,Tanker designed to carry oil and other derivatives.
,1,54,,Liquefied gas tanker,Tanker designed to carry liquefied gas.
,1,54,1,LPG tanker,Vessel designed to carry Liquefied Petroleum Gas (LPG).
,1,54,2,LNG tanker,Tanker designed to carry Liquefied Natural Gas (LNG).
,1,54,3,LNG/LPG tanker,Tanker designed to carry Liquefied Natural Gas (LNG) and Liquefied Petroleum Gas (LPG).
,1,55,,Other special tanker,Tanker designed to carry other special liquids.
